timestamp,is_touching
1630680334474,1
1630680334568,1
1630680334649,1
1630680334790,1
1630680334914,1
1630680334977,1
1630680335071,1
1630680335164,1
1630680335274,1
1630680335414,1
1630680335492,1
1630680335586,1
1630680335683,1
1630680335777,1
1630680335886,1
1630680336042,1
1630680336136,1
1630680336183,1
1630680336292,1
1630680336401,1
1630680336495,1
1630680336620,1
1630680336732,1
1630680336826,1
1630680336904,1
1630680337029,1
1630680337092,1
1630680337232,1
1630680337326,1
1630680337420,1
1630680337529,1
1630680337623,1
1630680337701,1
1630680337826,1
1630680337919,1
1630680338013,1
1630680338154,1
1630680338216,1
1630680338310,1
1630680338435,1
1630680338531,1
1630680338640,1
1630680338750,1
1630680338874,1
1630680338906,1
1630680339062,1
1630680339140,1
1630680339234,1
1630680339343,1
1630680339437,1
1630680339534,1
1630680339674,1
1630680339768,1
1630680339877,1
1630680339971,1
1630680340049,1
1630680340143,1
1630680340291,1
1630680340360,1
1630680340471,1
1630680340561,1
1630680340655,1
1630680340749,1
1630680340891,1
1630680340983,1
1630680341046,1
1630680341156,1
1630680341251,1
1630680341357,1
1630680341486,1
1630680341574,1
1630680341693,1
1630680341793,1
1630680341871,1
1630680341965,1
1630680342114,1
1630680342208,1
1630680342270,1
1630680342411,1
1630680342474,1
1630680342582,1
1630680342710,1
1630680342815,1
1630680342907,1
1630680343012,1
1630680343074,1
1630680343199,1
1630680343340,1
1630680343414,1
1630680343507,1
1630680343617,1
1630680343695,1
1630680343789,1
1630680343929,1
1630680344058,1
1630680344136,1
1630680344230,1
1630680344324,1
1630680344417,1
1630680344561,1
1630680344655,1
1630680344733,1
1630680344827,1
1630680344920,1
1630680344998,1
1630680345155,1
1630680345261,1
1630680345324,1
1630680345433,1
1630680345495,1
1630680345609,1
1630680345749,1
1630680345874,1
1630680345968,1
1630680346046,1
1630680346181,1
1630680346259,1
1630680346397,1
1630680346459,1
1630680346587,1
1630680346650,1
1630680346759,1
1630680346884,1
1630680346978,1
1630680347088,1
1630680347166,1
1630680347259,1
1630680347353,1
1630680347447,1
1630680347575,1
1630680347684,1
1630680347778,1
1630680347872,1
1630680347981,1
1630680348075,1
1630680348215,1
1630680348278,1
1630680348371,1
1630680348465,1
1630680348574,1
