timestamp,TP9,AF7,AF8,TP10
1630679855316,1.0,1.0,1.0,1.0
1630679855363,1.0,1.0,1.0,1.0
1630679855441,1.0,1.0,1.0,1.0
1630679855629,1.0,1.0,1.0,1.0
1630679855691,1.0,1.0,1.0,1.0
1630679855816,1.0,1.0,1.0,1.0
1630679855910,1.0,1.0,1.0,1.0
1630679856050,1.0,1.0,1.0,1.0
1630679856082,1.0,1.0,1.0,1.0
1630679856238,1.0,1.0,1.0,1.0
1630679856316,1.0,1.0,1.0,1.0
1630679856394,1.0,1.0,1.0,1.0
1630679856488,2.0,1.0,1.0,2.0
1630679856597,2.0,1.0,1.0,2.0
1630679856725,2.0,1.0,1.0,2.0
1630679856834,2.0,1.0,1.0,2.0
1630679856990,2.0,1.0,1.0,2.0
1630679857069,2.0,1.0,1.0,2.0
1630679857100,2.0,1.0,1.0,2.0
1630679857194,2.0,1.0,1.0,2.0
1630679857303,2.0,1.0,1.0,2.0
1630679857428,2.0,1.0,1.0,2.0
1630679857568,2.0,1.0,1.0,2.0
1630679857600,2.0,1.0,1.0,2.0
1630679857727,2.0,1.0,1.0,2.0
1630679857946,2.0,1.0,1.0,2.0
1630679858164,2.0,1.0,1.0,2.0
1630679858227,2.0,1.0,1.0,2.0
1630679858258,2.0,1.0,1.0,2.0
1630679858305,2.0,1.0,1.0,2.0
1630679858321,2.0,1.0,1.0,2.0
1630679858539,2.0,1.0,1.0,2.0
1630679858586,2.0,1.0,1.0,2.0
1630679858664,2.0,1.0,1.0,2.0
1630679858758,2.0,1.0,1.0,2.0
1630679858899,2.0,1.0,1.0,2.0
1630679859024,2.0,1.0,1.0,2.0
1630679859195,2.0,1.0,1.0,2.0
1630679859305,2.0,1.0,1.0,2.0
1630679859399,2.0,1.0,1.0,2.0
1630679859651,2.0,1.0,1.0,2.0
1630679859792,2.0,1.0,1.0,2.0
1630679859901,2.0,1.0,1.0,2.0
1630679859963,2.0,1.0,1.0,2.0
1630679860057,2.0,1.0,1.0,2.0
1630679860151,2.0,1.0,1.0,2.0
1630679860182,2.0,1.0,1.0,2.0
1630679860213,2.0,1.0,1.0,2.0
1630679860307,2.0,1.0,1.0,2.0
1630679860338,2.0,1.0,1.0,2.0
1630679860385,2.0,1.0,1.0,2.0
1630679860526,2.0,4.0,1.0,2.0
1630679860607,2.0,4.0,1.0,2.0
1630679860685,2.0,4.0,1.0,2.0
1630679860763,2.0,4.0,1.0,2.0
1630679860872,2.0,4.0,4.0,2.0
1630679860966,2.0,4.0,2.0,2.0
1630679861107,2.0,4.0,1.0,2.0
1630679861200,2.0,2.0,1.0,2.0
1630679861294,2.0,4.0,1.0,2.0
1630679861388,2.0,4.0,1.0,2.0
1630679861466,2.0,4.0,1.0,2.0
1630679861575,2.0,1.0,1.0,2.0
1630679861747,2.0,4.0,1.0,2.0
1630679861794,2.0,1.0,1.0,2.0
1630679861903,2.0,1.0,1.0,2.0
1630679862028,2.0,1.0,1.0,2.0
1630679862106,2.0,4.0,1.0,2.0
1630679862184,2.0,1.0,1.0,2.0
1630679862341,2.0,1.0,1.0,2.0
1630679862419,2.0,1.0,1.0,2.0
1630679862653,2.0,1.0,1.0,2.0
1630679862684,2.0,1.0,1.0,2.0
1630679862716,2.0,4.0,1.0,2.0
1630679862809,2.0,4.0,1.0,2.0
1630679862934,2.0,1.0,1.0,2.0
1630679863138,2.0,1.0,1.0,2.0
1630679863153,2.0,1.0,1.0,2.0
1630679863216,2.0,1.0,1.0,2.0
1630679863372,2.0,1.0,1.0,2.0
1630679863387,2.0,1.0,1.0,2.0
1630679863640,2.0,1.0,1.0,2.0
1630679863805,1.0,1.0,1.0,1.0
1630679863821,1.0,1.0,1.0,1.0
1630679864008,1.0,1.0,1.0,1.0
1630679864086,1.0,1.0,1.0,1.0
1630679864223,1.0,1.0,1.0,1.0
1630679864285,1.0,1.0,1.0,1.0
1630679864332,1.0,1.0,1.0,1.0
1630679864488,1.0,1.0,1.0,1.0
1630679864520,1.0,1.0,1.0,1.0
1630679864582,1.0,1.0,1.0,1.0
1630679864645,1.0,1.0,1.0,1.0
1630679864804,1.0,1.0,1.0,1.0
1630679864866,1.0,1.0,1.0,1.0
1630679864991,1.0,1.0,1.0,1.0
1630679865101,1.0,1.0,1.0,1.0
1630679865253,1.0,1.0,1.0,1.0
1630679865365,1.0,1.0,1.0,1.0
1630679865424,1.0,1.0,1.0,1.0
1630679865596,1.0,1.0,1.0,1.0
1630679865609,1.0,1.0,1.0,1.0
1630679865708,1.0,1.0,1.0,1.0
1630679865740,1.0,1.0,1.0,1.0
1630679865906,1.0,1.0,1.0,1.0
1630679865969,1.0,1.0,1.0,1.0
1630679866050,1.0,1.0,1.0,1.0
1630679866139,1.0,1.0,1.0,1.0
1630679866291,1.0,1.0,1.0,1.0
1630679866345,1.0,1.0,1.0,1.0
1630679866423,1.0,1.0,1.0,1.0
1630679866576,1.0,1.0,1.0,1.0
1630679866685,1.0,1.0,1.0,1.0
1630679866825,1.0,1.0,1.0,1.0
1630679866876,1.0,1.0,1.0,1.0
1630679867022,1.0,1.0,1.0,1.0
1630679867050,1.0,1.0,1.0,1.0
1630679867219,1.0,1.0,1.0,1.0
1630679867266,1.0,1.0,1.0,1.0
1630679867404,1.0,1.0,1.0,1.0
1630679867576,1.0,1.0,1.0,1.0
1630679867576,1.0,1.0,1.0,1.0
1630679867744,1.0,1.0,1.0,1.0
1630679867807,1.0,1.0,1.0,1.0
1630679867885,1.0,1.0,1.0,1.0
1630679867977,1.0,1.0,1.0,1.0
1630679868118,1.0,1.0,1.0,1.0
1630679868227,1.0,1.0,1.0,1.0
1630679868352,1.0,1.0,1.0,1.0
1630679868477,1.0,1.0,1.0,1.0
1630679868507,1.0,1.0,1.0,1.0
1630679868636,1.0,1.0,1.0,1.0
1630679868697,1.0,1.0,1.0,1.0
1630679868776,1.0,1.0,1.0,1.0
1630679868948,1.0,1.0,1.0,1.0
1630679869088,1.0,1.0,1.0,1.0
1630679869258,1.0,1.0,1.0,1.0
1630679869258,1.0,1.0,1.0,1.0
1630679869289,1.0,1.0,1.0,1.0
1630679869368,1.0,1.0,1.0,1.0
1630679869477,1.0,1.0,1.0,1.0
1630679869604,1.0,1.0,1.0,1.0
1630679869761,1.0,1.0,1.0,1.0
1630679869855,1.0,1.0,1.0,1.0
1630679869949,1.0,1.0,1.0,1.0
1630679870058,1.0,1.0,1.0,1.0
1630679870152,1.0,1.0,1.0,1.0
1630679870309,1.0,1.0,1.0,1.0
1630679870388,1.0,1.0,1.0,1.0
1630679870419,1.0,1.0,1.0,1.0
1630679870577,1.0,1.0,1.0,1.0
1630679870624,1.0,1.0,1.0,1.0
1630679870744,1.0,1.0,1.0,1.0
1630679870916,1.0,1.0,1.0,1.0
1630679870947,1.0,1.0,1.0,1.0
1630679871088,1.0,1.0,1.0,1.0
1630679871150,1.0,1.0,1.0,1.0
1630679871213,1.0,1.0,1.0,1.0
1630679871372,1.0,1.0,1.0,1.0
1630679871450,1.0,1.0,1.0,1.0
1630679871544,1.0,1.0,1.0,1.0
1630679871685,1.0,1.0,1.0,1.0
1630679871747,1.0,1.0,1.0,1.0
1630679871845,1.0,1.0,1.0,1.0
1630679871923,1.0,1.0,1.0,1.0
1630679872080,1.0,1.0,1.0,1.0
1630679872142,1.0,1.0,1.0,1.0
1630679872237,1.0,1.0,1.0,1.0
1630679872418,1.0,1.0,1.0,1.0
1630679872449,1.0,1.0,1.0,1.0
1630679872561,1.0,1.0,1.0,1.0
1630679872658,1.0,1.0,1.0,1.0
1630679872783,1.0,1.0,1.0,1.0
1630679872845,1.0,1.0,1.0,1.0
1630679872955,1.0,1.0,1.0,1.0
1630679873111,1.0,1.0,1.0,1.0
1630679873142,2.0,1.0,1.0,2.0
1630679873378,1.0,1.0,1.0,1.0
1630679873409,2.0,1.0,1.0,2.0
1630679873519,1.0,1.0,1.0,1.0
1630679873550,1.0,1.0,1.0,1.0
1630679873675,1.0,1.0,1.0,1.0
1630679873754,1.0,1.0,1.0,1.0
1630679873861,1.0,1.0,1.0,1.0
1630679874095,1.0,1.0,1.0,1.0
1630679874096,1.0,1.0,1.0,1.0
1630679874216,1.0,1.0,1.0,1.0
1630679874278,1.0,1.0,1.0,1.0
1630679874374,1.0,1.0,1.0,1.0
1630679874483,1.0,1.0,1.0,1.0
1630679874625,1.0,1.0,1.0,1.0
1630679874748,1.0,1.0,1.0,1.0
1630679874784,1.0,1.0,1.0,1.0
1630679874855,1.0,1.0,1.0,1.0
1630679874998,1.0,1.0,1.0,1.0
1630679875089,1.0,1.0,1.0,1.0
1630679875215,1.0,1.0,1.0,1.0
1630679875275,1.0,1.0,1.0,1.0
1630679875448,1.0,1.0,1.0,1.0
1630679875477,1.0,1.0,1.0,1.0
1630679875603,1.0,1.0,1.0,1.0
1630679875743,1.0,1.0,1.0,1.0
1630679875836,1.0,1.0,1.0,1.0
1630679875914,1.0,1.0,1.0,1.0
1630679876008,1.0,1.0,1.0,1.0
1630679876152,1.0,1.0,1.0,1.0
1630679876180,1.0,1.0,1.0,1.0
1630679876321,1.0,1.0,1.0,1.0
1630679876431,1.0,1.0,1.0,1.0
1630679876527,1.0,1.0,1.0,1.0
1630679876671,1.0,1.0,1.0,1.0
1630679876727,1.0,1.0,1.0,1.0
1630679876790,1.0,1.0,1.0,1.0
1630679876965,1.0,1.0,1.0,1.0
1630679877061,1.0,1.0,1.0,1.0
1630679877111,1.0,1.0,1.0,1.0
1630679877274,1.0,1.0,1.0,1.0
1630679877312,1.0,1.0,1.0,1.0
1630679877405,1.0,1.0,1.0,1.0
